category,question,answer
Services,What services do you provide?,"BrightCare Dental Clinic provides general dental checkups, teeth cleaning, teeth whitening, dental fillings, root canal treatment, dental implants, emergency dental care, orthodontic consultation, and cosmetic smile improvement."
Appointments,How can I book an appointment?,"You can book an appointment by calling the clinic reception, sending an email, or using the online appointment form on the website."
Appointments,Can new patients book online?,"Yes. New patients can book online using the appointment form. The clinic team will confirm the appointment after checking availability."
Opening Hours,What are your opening hours?,"The clinic is open Monday to Friday from 9:00 AM to 6:00 PM and Saturday from 10:00 AM to 2:00 PM. The clinic is closed on Sunday."
Emergency,Do you provide emergency dental care?,"Yes. The clinic provides limited emergency appointments for severe tooth pain, broken teeth, swelling, or dental injuries. Emergency patients should call the clinic before visiting."
Pricing,How much does a dental checkup cost?,"A routine dental checkup starts from 50 euros. Final prices depend on the patient's condition and treatment plan."
Pricing,How much does teeth cleaning cost?,"Teeth cleaning starts from 70 euros. Final prices may vary depending on the patient's condition."
Pricing,How much does teeth whitening cost?,"Teeth whitening starts from 180 euros. The final cost depends on the treatment plan."
Payments,What payment methods do you accept?,"The clinic accepts card payments, cash, and bank transfer."
Insurance,Can treatments be reimbursed by insurance?,"Some treatments may be reimbursed by private health insurance depending on the patient's insurance plan."
Cancellation,What is your cancellation policy?,"Patients should cancel or reschedule at least 24 hours before the appointment. Late cancellations may require a small cancellation fee."
Support,How can I contact customer support?,"Patients can contact the clinic by phone, email, or the website contact form. The reception team usually replies to emails within one business day."
Location,Where is the clinic located?,"BrightCare Dental Clinic is a demo clinic located in Verona, Italy."
